"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 06 15:52:13 MSK 2021","Thu May 06 15:52:13 MSK 2021","67","","","","","","Существующие элементы : Справочник.ГруппыКлиентов.Форма.ФормаЭлемента - <PI_ClientManager>","Тест_ОткрытьФормуСуществующегоЭлементаСправочника"
"passed","Thu May 06 15:52:27 MSK 2021","Thu May 06 15:52:27 MSK 2021","237","","","","","","Существующие элементы : Справочник.ЦенныеБумаги.Форма.ФормаЭлемента - <PI_ClientManager>","Тест_ОткрытьФормуСуществующегоЭлементаСправочника"
"passed","Thu May 06 15:52:10 MSK 2021","Thu May 06 15:52:11 MSK 2021","74","","","","","","Новые через копирование элементы : Справочник.Биржи.Форма.ФормаЭлемента - <PI_ClientManager>","Тест_ОткрытьФормуНовогоЭлементаСправочникаСоздаваемогоКопированием"
"passed","Thu May 06 15:52:12 MSK 2021","Thu May 06 15:52:12 MSK 2021","111","","","","","","Справочник.ВидыОтправляемыхДокументов.Форма.ФормаВыбора - <PI_ClientManager>","ТестДолжен_ОткрытьФорму_ПоМетаФорме"
"passed","Thu May 06 15:52:28 MSK 2021","Thu May 06 15:52:28 MSK 2021","48","","","","","","Новые элементы : Справочник.Assets.Форма.ФормаЭлемента - <PI_ClientManager>","Тест_ОткрытьФормуНовогоЭлементаСправочника"
"passed","Thu May 06 15:52:36 MSK 2021","Thu May 06 15:52:36 MSK 2021","30","","","","","","Документ.ОплатаВекселей.Форма.ФормаСписка - <PI_ClientManager>","ТестДолжен_ОткрытьФорму_ПоМетаФорме"
"passed","Thu May 06 15:52:28 MSK 2021","Thu May 06 15:52:28 MSK 2021","41","","","","","","Справочник.ЦенныеБумаги.Форма.ФормаСписка - <PI_ClientManager>","ТестДолжен_ОткрытьФорму_ПоМетаФорме"
"passed","Thu May 06 15:52:31 MSK 2021","Thu May 06 15:52:31 MSK 2021","8","","","","","","Существующие документы : Документ.ВыгрузкаРегламентированныхОтчетов.Форма.ФормаДокумента - <PI_ClientManager>","Тест_ОткрытьФормуСуществующегоДокумента"
"passed","Thu May 06 15:52:44 MSK 2021","Thu May 06 15:52:44 MSK 2021","4","","","","","","Перенос документа на текущий день : Документ.ЭлектронноеПисьмо.Форма.ФормаДокумента - <PI_ClientManager>","Тест_ПеренестиДокументНаТекущийДень_и_ОткрытьЕгоФорму"
"passed","Thu May 06 15:52:19 MSK 2021","Thu May 06 15:52:19 MSK 2021","18","","","","","","Справочник.Контрагенты.Форма.ФормаВыбораГруппы - <PI_ClientManager>","ТестДолжен_ОткрытьФорму_ПоМетаФорме"
"passed","Thu May 06 15:52:28 MSK 2021","Thu May 06 15:52:28 MSK 2021","16","","","","","","Новые элементы : Справочник.КонтрольныеВопросыКонтрагентов.Форма.ФормаЭлемента - <PI_ClientManager>","Тест_ОткрытьФормуНовогоЭлементаСправочника"
"passed","Thu May 06 15:52:42 MSK 2021","Thu May 06 15:52:43 MSK 2021","300","","","","","","Новые документы : Документ.СправкиПоНДФЛДляРасчетаПоНалогуНаПрибыль.Форма.ФормаДокумента - <PI_ClientManager>","Тест_ОткрытьФормуНовогоДокумента"
"passed","Thu May 06 15:52:21 MSK 2021","Thu May 06 15:52:22 MSK 2021","108","","","","","","Новые через копирование элементы : Справочник.Пользователи.Форма.ФормаЭлемента - <PI_ClientManager>","Тест_ОткрытьФормуНовогоЭлементаСправочникаСоздаваемогоКопированием"
"passed","Thu May 06 15:52:30 MSK 2021","Thu May 06 15:52:30 MSK 2021","4","","","","","","Перенос документа на текущий день : Документ.БлокировкаЦБ.Форма.ФормаДокумента - <PI_ClientManager>","Тест_ПеренестиДокументНаТекущийДень_и_ОткрытьЕгоФорму"
"passed","Thu May 06 15:52:06 MSK 2021","Thu May 06 15:52:06 MSK 2021","84","","","","","","Справочник._рарВидыЭлектронныхДокументов.Форма.ФормаВыбора - <PI_ClientManager>","ТестДолжен_ОткрытьФорму_ПоМетаФорме"
"passed","Thu May 06 15:52:15 MSK 2021","Thu May 06 15:52:16 MSK 2021","37","","","","","","Существующие элементы : Справочник.КлассификаторВидовЭкономическойДеятельности.Форма.ФормаЭлемента - <PI_ClientManager>","Тест_ОткрытьФормуСуществующегоЭлементаСправочника"
"skipped","Thu May 06 15:52:15 MSK 2021","Thu May 06 15:52:15 MSK 2021","4","","","","","","Новые через копирование элементы : объект находится в исключениях : Справочник.ИнвестиционныеДекларации.Форма.ФормаЭлемента - <PI_ClientManager>","ТестДолжен_ПропуститьТестФормы"
"skipped","Thu May 06 15:52:28 MSK 2021","Thu May 06 15:52:28 MSK 2021","3","","","","","","Новые элементы : объект находится в исключениях : Справочник.ЭталоныОтчетов.Форма.ФормаГруппы - <PI_ClientManager>","ТестДолжен_ПропуститьТестФормы"
"passed","Thu May 06 15:52:37 MSK 2021","Thu May 06 15:52:37 MSK 2021","17","","","","","","Документ.ОтчетыКлиентам.Форма.ФормаСписка - <PI_ClientManager>","ТестДолжен_ОткрытьФорму_ПоМетаФорме"
"passed","Thu May 06 15:52:26 MSK 2021","Thu May 06 15:52:27 MSK 2021","85","","","","","","Новые элементы : Справочник.ФизическиеЛица.Форма.ФормаЭлемента - <PI_ClientManager>","Тест_ОткрытьФормуНовогоЭлементаСправочника"
"passed","Thu May 06 15:52:32 MSK 2021","Thu May 06 15:52:32 MSK 2021","10","","","","","","Существующие документы : Документ.ЗакрытиеПериода.Форма.ФормаДокумента - <PI_ClientManager>","Тест_ОткрытьФормуСуществующегоДокумента"
"passed","Thu May 06 15:52:40 MSK 2021","Thu May 06 15:52:40 MSK 2021","75","","","","","","Новые документы : Документ.РасчетКастоди.Форма.ФормаДокумента - <PI_ClientManager>","Тест_ОткрытьФормуНовогоДокумента"
"passed","Thu May 06 15:52:17 MSK 2021","Thu May 06 15:52:17 MSK 2021","28","","","","","","Справочник.КонтактныеЛица.Форма.ФормаСписка - <PI_ClientManager>","ТестДолжен_ОткрытьФорму_ПоМетаФорме"
"passed","Thu May 06 15:52:26 MSK 2021","Thu May 06 15:52:26 MSK 2021","72","","","","","","Справочник.ТипыЦБПоКлассификацииБР.Форма.ФормаВыбора - <PI_ClientManager>","ТестДолжен_ОткрытьФорму_ПоМетаФорме"
"passed","Thu May 06 15:52:38 MSK 2021","Thu May 06 15:52:38 MSK 2021","96","","","","","","Новые документы : Документ.ПогашениеВекселей.Форма.ФормаДокумента - <PI_ClientManager>","Тест_ОткрытьФормуНовогоДокумента"
"passed","Thu May 06 15:52:20 MSK 2021","Thu May 06 15:52:21 MSK 2021","225","","","","","","Существующие элементы : Справочник.Организации.Форма.ФормаЭлемента - <PI_ClientManager>","Тест_ОткрытьФормуСуществующегоЭлементаСправочника"
"passed","Thu May 06 15:52:23 MSK 2021","Thu May 06 15:52:23 MSK 2021","82","","","","","","Справочник.СВИФТ_Сообщения.Форма.ФормаСписка - <PI_ClientManager>","ТестДолжен_ОткрытьФорму_ПоМетаФорме"
"passed","Thu May 06 15:52:10 MSK 2021","Thu May 06 15:52:10 MSK 2021","57","","","","","","Справочник.БанковскиеРеквизиты.Форма.ФормаВыбора - <PI_ClientManager>","ТестДолжен_ОткрытьФорму_ПоМетаФорме"
